REGION,ZONE,Target,Month,Type,Business Type
EAST + CENTRAL,EAST INDIA,5.6,Nov,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,1.7,Nov,Region,RETAIL
APTS,AP & TS,7.8,Nov,Region,RETAIL
KTNK,TAMIL NADU,4.9,Nov,Region,RETAIL
KTNK,KERALA,1.2,Nov,Region,RETAIL
KTNK,KARNATAKA,12.8,Nov,Region,RETAIL
GUJARAT,GUJARAT,4.1,Nov,Region,RETAIL
WEST,WEST ONE,5.8,Nov,Region,RETAIL
WEST,WEST TWO,4.1,Nov,Region,RETAIL
NRI,NRI,0.5,Nov,Region,RETAIL
CALL CENTER,CALL CENTER,17,Nov,Region,CALL CENTER
NORTH,DELHI NCR,6.6,Dec,Region,RETAIL
NORTH,PUNJAB,1.6,Dec,Region,RETAIL
NORTH,RAJASTHAN,1.3,Dec,Region,RETAIL
NORTH,UTTAR PRADESH,2.1,Dec,Region,RETAIL
EAST + CENTRAL,EAST INDIA,6.4,Dec,Region,RETAIL
EAST + CENTRAL,CENTRAL INDIA,1.5,Dec,Region,RETAIL
APTS,AP & TS,5.8,Dec,Region,RETAIL
KTNK,TAMIL NADU,5.3,Dec,Region,RETAIL
KTNK,KERALA,0.6,Dec,Region,RETAIL
KTNK,KARNATAKA,12.5,Dec,Region,RETAIL
GUJARAT,GUJARAT,3,Dec,Region,RETAIL
WEST,WEST ONE,5.4,Dec,Region,RETAIL
WEST,WEST TWO,3.2,Dec,Region,RETAIL
NRI,NRI,0.6,Dec,Region,RETAIL
CALL CENTER,CALL CENTER,18,Dec,Region,CALL CENTER
AIR,Call Center,0.87,Jan,BAREA,CALL CENTER
AIR,Call Center,1.87,Feb,BAREA,CALL CENTER
AIR,Call Center,1.26,Mar,BAREA,CALL CENTER
AIR,Call Center,1.75,Apr,BAREA,CALL CENTER
AIR,Call Center,1.19,May,BAREA,CALL CENTER
AIR,Call Center,1.33,Jun,BAREA,CALL CENTER
AIR,Call Center,1.7,Jul,BAREA,CALL CENTER
AIR,Call Center,1.28,Aug,BAREA,CALL CENTER
AIR,Call Center,1.56,Sep,BAREA,CALL CENTER
AIR,Call Center,0.98,Oct,BAREA,CALL CENTER
AIR,Call Center,1.62,Nov,BAREA,CALL CENTER
AIR,Call Center,2.33,Dec,BAREA,CALL CENTER
LTDM,Call Center,2.67,Jan,BAREA,CALL CENTER
LTDM,Call Center,2.36,Feb,BAREA,CALL CENTER
LTDM,Call Center,3.38,Mar,BAREA,CALL CENTER
LTDM,Call Center,5.22,Apr,BAREA,CALL CENTER
LTDM,Call Center,12.25,May,BAREA,CALL CENTER
LTDM,Call Center,8.1,Jun,BAREA,CALL CENTER
LTDM,Call Center,1.66,Jul,BAREA,CALL CENTER
